1523311923,9169.98,10.15,6713.9,394.14,11424.2,-4.6899999999999995,50.0,hold
1523311984,9169.98,10.15,6713.9,394.02,11424.2,-4.6899999999999995,50.0,hold
1523312045,9169.98,10.15,6713.89,394.15,11423.59,-4.5600000000000005,50.0,hold
1523312105,9169.98,10.15,6713.9,394.16,11415.95,-4.5600000000000005,50.0,hold
1523312166,9169.98,10.15,6713.89,394.16,11414.95,-4.5,50.0,hold
1523312227,9169.98,10.15,6705.01,394.15,11411.52,-4.5,44.75,hold
1523312288,9169.98,10.15,6704.47,393.85,11411.52,-4.64,44.5,hold
1523312349,9169.98,10.15,6700.0,393.85,11411.52,-4.64,43.5,hold
1523312409,9169.98,10.15,6689.89,393.84,11411.53,-4.87,39.75,hold
1523312470,9169.98,10.15,6692.89,394.0,11393.02,-4.9,40.25,hold
1523312531,9169.98,10.15,6692.89,394.14,11393.02,-4.89,40.25,hold
1523312592,9169.98,10.15,6692.89,394.16,11393.02,-4.89,40.25,hold
1523312653,9169.98,10.15,6692.89,394.2,11393.02,-4.89,40.25,hold
1523312714,9169.98,10.15,6692.89,393.83,11392.91,-4.89,40.25,hold
1523312774,9169.98,10.15,6680.34,393.87,11392.91,-4.9799999999999995,36.75,hold
1523312835,9169.98,10.15,6682.32,393.55,11392.91,-5.07,36.75,hold
1523312896,9169.98,10.15,6682.31,393.87,11392.91,-5.050000000000001,36.75,hold
1523312957,9169.98,10.15,6682.31,393.87,11392.81,-5.050000000000001,36.75,hold
1523313018,9169.98,10.15,6683.68,393.83,11392.81,-5.050000000000001,37.75,hold
1523313079,9169.98,10.15,6687.51,393.84,11358.1,-5.04,39.75,hold
1523313139,9169.98,10.15,6687.52,393.84,11358.1,-4.9799999999999995,39.75,hold
1523313200,9169.98,10.15,6698.13,393.86,11358.1,-4.97,44.25,hold
1523313261,9169.98,10.15,6698.13,394.26,11358.1,-4.81,44.25,hold
1523313322,9169.98,10.15,6698.12,394.1,11358.11,-4.81,44.25,hold
